community_area,community_name,crime_count,crime_share,centroid_latitude,centroid_longitude,hardship_index
3,Uptown,25842,0.013878714578182029,41.9662667612786,-87.6571401774466,20.0
15,Portage Park,24057,0.012920061783427176,41.95198602636148,-87.7604392919625,35.0
38,Grand Boulevard,24041,0.012911468817199682,41.812514232442446,-87.61688523675694,57.0
2,West Ridge,23868,0.012818557369864897,41.99947698136836,-87.69277954096788,46.0
73,Washington Height,22247,0.011947982478941863,41.71835362296608,-87.65004319817363,48.0
16,Irving Park,22198,0.01192166651987016,41.952899959433324,-87.72098879049507,34.0
40,Washington Park,19865,0.01066870463182362,41.79158173532039,-87.62014833826909,88.0
63,Gage Park,18686,0.010035510432935121,41.79460341023984,-87.69576814780204,93.0
58,Brighton Park,18371,0.009866336410331323,41.816163954700826,-87.69660997011421,84.0
21,Avondale,18053,0.00969555120655987,41.937755040912144,-87.71334137816285,42.0
77,Edgewater,17971,0.009651512254643961,41.98722715047476,-87.66178729238585,19.0
31,Lower West Side,17822,0.009571490256650418,41.85426503127839,-87.66825686882075,76.0
70,Ashburn,17359,0.009322831296442298,41.7460071191406,-87.70958594554726,37.0
14,Albany Park,16882,0.009066653490785118,41.96713891924762,-87.71899056144527,53.0
35,Douglas,15689,0.008425940446447561,41.833728882542566,-87.61997126688719,47.0
75,Morgan Park,15501,0.0083249730932745,41.690001746395446,-87.66240060053148,30.0
56,Garfield Ridge,14430,0.007749781416421588,41.7980668641344,-87.75988004647914,32.0
65,West Lawn,14181,0.007616053379506205,41.770524559130955,-87.7270921394374,56.0
51,South Deering,12594,0.006763738541816596,41.712123262467834,-87.56649149736336,65.0
4,Lincoln Square,12562,0.0067465526093616075,41.97217623862882,-87.6882647664836,17.0
60,Bridgeport,12062,0.006478022414752404,41.836650408506124,-87.64799969021698,43.0
17,Dunning,11981,0.006434520523225714,41.945319684284875,-87.80244146080659,28.0
33,Near South Side,11674,0.006269642983735663,41.857220853415974,-87.62425966231238,7.0
20,Hermosa,11377,0.006110136048137797,41.92274393902214,-87.73370897487052,71.0
5,North Center,10876,0.005841068793139376,41.94732010343664,-87.68329930761156,6.0
39,Kenwood,10749,0.005772862123708638,41.809372435012456,-87.59898966169551,26.0
41,Hyde Park,10594,0.005689617763379786,41.79653346361833,-87.59360313612034,14.0
48,Calumet Heights,10574,0.005678876555595417,41.73045486819662,-87.57511663859471,38.0
76,O'Hare,10009,0.005375437435687018,41.975762596686934,-87.88334663244237,24.0
45,Avalon Park,9886,0.005309379007813154,41.74466496955964,-87.58675935349216,41.0
52,East Side,9662,0.005189077480628232,41.70456708398406,-87.53551082139525,64.0
10,Norwood Park,8003,0.004298094294914898,41.985112326730345,-87.80018748748735,21.0
59,McKinley Park,7746,0.004160069774885767,41.830406564657494,-87.6743407818784,61.0
62,West Elsdon,7561,0.0040607136028803625,41.793045043930086,-87.72454313918107,69.0
64,Clearing,7526,0.004041916489257718,41.77840028392309,-87.76694761637444,29.0
11,Jefferson Park,7348,0.003946319739976842,41.976037517193646,-87.76919588293389,25.0
54,Riverdale,7238,0.0038872430971628176,41.6563170408106,-87.60688550630324,98.0
57,Archer Heights,7022,0.003771238053091642,41.80596266589081,-87.7265020940066,67.0
50,Pullman,6936,0.003725050859618859,41.704890530740464,-87.6022416433339,51.0
34,Armour Square,6904,0.00370786492716387,41.84151259371973,-87.63334195423687,82.0
72,Beverly,6734,0.003616564660996741,41.712166539481586,-87.67283676696837,12.0
13,North Park,6188,0.003323329688483492,41.98379542201746,-87.71619299415319,33.0
37,Fuller Park,6152,0.003303995514471629,41.80587008954518,-87.63238547402456,97.0
18,Montclaire,4601,0.0024710148507938825,41.929317401036066,-87.79849300072873,50.0
36,Oakland,4209,0.002260487178220268,41.82438087582418,-87.60574514240653,78.0
74,Mount Greenwood,4162,0.0022352453399270026,41.69491648345652,-87.70843753201588,16.0
55,Hegewisch,4090,0.0021965769919032774,41.65656797310244,-87.54556163934791,44.0
12,Forest Glen,3416,0.0018345982895700723,41.98975244482348,-87.75297040761241,11.0
47,Burnside,2784,0.0014951761235840403,41.72805421925718,-87.5973647625758,79.0
9,Edison Park,1834,0.0009849687538265553,42.00589593726283,-87.81327693093841,8.0
