weather_date,crime_count,average_temperature_f,reported_precipitation_inches,average_relative_humidity,average_wind_speed_mph,has_reported_weather_event,has_precipitation,has_rain,has_snow,has_thunderstorm
2008-03-09,970,28.717391304347824,0.006,68.8913043478261,6.246376811594204,1,1,0,1,0
2008-03-10,1104,30.5625,0.011,75.38888888888889,6.798611111111112,1,1,0,1,0
2008-03-11,1194,35.104166666666664,0.0,64.85416666666667,11.541666666666666,1,0,0,0,0
2008-03-12,1196,37.270833333333336,0.0,71.64583333333333,7.625,1,0,0,0,0
2008-03-13,1163,48.1875,0.0,59.354166666666664,11.5,1,0,0,0,0
2008-03-14,1248,45.0625,0.0,60.6875,4.583333333333333,0,0,0,0,0
2008-03-15,1117,35.520833333333336,0.0,67.60416666666667,13.104166666666666,0,0,0,0,0
2008-03-16,1033,32.51388888888889,0.0,64.86805555555556,11.652777777777777,0,0,0,0,0
2008-03-17,1044,35.954166666666666,0.092,75.03888888888888,10.515277777777778,1,1,1,1,0
2008-03-18,1015,40.81249999999999,0.08499999999999999,92.97916666666667,6.885416666666667,1,1,1,0,0
2008-03-19,1085,40.291666666666664,0.0,61.833333333333336,11.104166666666666,0,0,0,0,0
2008-03-20,1094,36.6875,0.0,59.0625,8.479166666666666,0,0,0,0,0
2008-03-21,952,31.954861111111114,0.204,88.27430555555556,14.645138888888889,1,1,1,1,0
2008-03-22,945,31.806944444444444,0.019000000000000003,68.34375,11.170833333333333,1,1,1,1,0
2008-03-23,948,33.083333333333336,0.003,62.4375,5.4375,0,1,0,0,0
2008-03-24,1072,34.645833333333336,0.003,60.229166666666664,8.729166666666666,1,1,0,1,0
2008-03-25,1222,45.645833333333336,0.0,51.3125,18.604166666666668,0,0,0,0,0
2008-03-26,1256,43.520833333333336,0.0,53.625,6.020833333333333,0,0,0,0,0
2008-03-27,1027,36.68402777777778,0.3590000000000001,86.86666666666667,14.055555555555555,1,1,1,1,0
2008-03-28,1276,34.67361111111111,0.015,67.76388888888889,10.840277777777779,1,1,0,1,0
2008-03-29,1117,37.3125,0.0,56.6875,10.6875,0,0,0,0,0
2008-03-30,1015,39.45486111111111,0.049,80.24791666666667,8.338888888888889,1,1,1,0,0
2008-03-31,1119,50.692361111111104,0.32600000000000007,93.22500000000001,12.025,1,1,1,0,1
2008-04-01,1319,39.625,0.001,71.5,13.6875,0,1,0,0,0
2008-04-02,1172,41.0,0.0,56.166666666666664,6.791666666666667,0,0,0,0,0
2008-04-03,1139,44.104166666666664,0.054,57.041666666666664,9.8125,1,1,1,0,0
2008-04-04,1286,44.27777777777777,0.014000000000000002,67.90277777777779,10.368055555555557,1,1,1,0,0
2008-04-05,1188,52.104166666666664,0.0,50.083333333333336,7.729166666666667,0,0,0,0,0
2008-04-06,1156,55.5625,0.0,47.833333333333336,9.729166666666666,0,0,0,0,0
2008-04-07,1172,48.083333333333336,0.002,61.333333333333336,12.25,1,1,1,0,0
2008-04-08,1146,44.3125,0.516,83.32986111111111,8.430555555555555,1,1,1,0,1
2008-04-09,1166,42.24305555555556,0.0,75.61111111111111,11.465277777777779,0,0,0,0,0
2008-04-10,1131,44.97569444444445,0.6109999999999999,92.41666666666667,14.902777777777779,1,1,1,0,0
2008-04-11,1094,51.8125,0.064,76.41666666666667,16.572916666666668,1,1,1,0,0
2008-04-12,1030,37.80902777777778,0.171,91.45138888888887,12.711805555555555,1,1,1,1,0
2008-04-13,975,36.92361111111111,0.033,73.47222222222221,14.25,1,1,1,1,0
2008-04-14,1153,41.375,0.0,54.541666666666664,7.479166666666667,0,0,0,0,0
2008-04-15,1397,47.958333333333336,0.0,45.104166666666664,12.541666666666666,0,0,0,0,0
2008-04-16,1269,58.9375,0.0,42.666666666666664,19.0,0,0,0,0,0
2008-04-17,1233,58.125,0.0,57.354166666666664,7.5,0,0,0,0,0
2008-04-18,1320,65.8125,0.004,56.375,13.0,1,1,1,0,0
2008-04-19,1186,56.23263888888889,0.117,86.18402777777779,4.836805555555555,1,1,1,0,0
2008-04-20,1148,56.1875,0.0,65.72916666666667,4.854166666666667,1,0,0,0,0
2008-04-21,1295,61.083333333333336,0.0,64.47916666666667,5.145833333333333,1,0,0,0,0
2008-04-22,1308,66.4375,0.0,54.354166666666664,6.958333333333333,0,0,0,0,0
2008-04-23,1263,62.708333333333336,0.0,50.625,11.666666666666666,0,0,0,0,0
2008-04-24,1168,66.25,0.054000000000000006,47.9375,14.875,1,1,1,0,0
2008-04-25,1298,67.9375,0.361,71.24305555555556,17.229166666666668,1,1,1,0,1
2008-04-26,1131,48.708333333333336,0.0,52.59722222222223,19.1875,0,0,0,0,0
2008-04-27,1061,47.270833333333336,0.0,46.8125,7.229166666666667,0,0,0,0,0
2008-04-28,1090,40.104166666666664,0.21400000000000002,76.87847222222223,10.364583333333334,1,1,1,1,0
2008-04-29,1105,39.291666666666664,0.0,58.354166666666664,7.854166666666667,0,0,0,0,0
2008-04-30,1203,48.083333333333336,0.0,51.5,8.9375,0,0,0,0,0
2008-05-01,1450,63.958333333333336,0.002,63.5,10.458333333333334,0,1,0,0,0
2008-05-02,1300,65.46875,0.8520000000000001,74.52777777777777,13.319444444444445,1,1,1,0,1
2008-05-03,1071,50.56736111111112,0.016,70.26319444444445,12.515972222222222,1,1,1,0,0
2008-05-04,989,54.604166666666664,0.0,47.395833333333336,5.583333333333333,0,0,0,0,0
2008-05-05,1267,62.666666666666664,0.0,41.666666666666664,6.291666666666667,0,0,0,0,0
2008-05-06,1224,68.58333333333333,0.0,42.833333333333336,8.666666666666666,0,0,0,0,0
2008-05-07,1338,61.607638888888886,0.761,74.6701388888889,11.090277777777777,1,1,1,0,0
2008-05-08,1185,51.1875,0.0,56.020833333333336,15.020833333333334,0,0,0,0,0
2008-05-09,1327,50.8125,0.0,55.9375,7.083333333333333,0,0,0,0,0
2008-05-10,1250,52.791666666666664,0.0,59.854166666666664,6.270833333333333,0,0,0,0,0
2008-05-11,1012,52.076388888888886,1.462,76.54166666666667,17.555555555555557,1,1,1,0,0
2008-05-12,1141,47.15277777777778,0.0,71.96527777777779,7.583333333333333,0,0,0,0,0
2008-05-13,1168,60.0625,0.4,61.75833333333333,14.529166666666667,1,1,1,0,1
2008-05-14,1247,55.631944444444436,0.022000000000000002,80.96180555555556,8.798611111111112,1,1,1,0,1
2008-05-15,1308,50.604166666666664,0.0,60.75,8.458333333333334,0,0,0,0,0
2008-05-16,1367,60.0625,0.0,52.229166666666664,8.729166666666666,0,0,0,0,0
2008-05-17,1239,63.69444444444445,0.301,49.12916666666666,13.730555555555554,1,1,1,0,1
2008-05-18,1068,50.78125,0.0,67.11458333333333,8.125,0,0,0,0,0
2008-05-19,1229,51.375,0.003,53.979166666666664,6.1875,1,1,1,0,0
2008-05-20,1283,55.604166666666664,0.001,51.5,7.729166666666667,0,1,0,0,0
2008-05-21,1264,55.270833333333336,0.0,49.5625,8.666666666666666,0,0,0,0,0
2008-05-22,1259,51.125,0.0,62.479166666666664,11.145833333333334,0,0,0,0,0
2008-05-23,1311,51.354166666666664,0.0,65.625,10.625,0,0,0,0,0
2008-05-24,1279,57.5625,0.0,52.6875,7.208333333333333,0,0,0,0,0
2008-05-25,1110,67.18055555555556,0.0,51.819444444444436,12.680555555555555,1,0,0,0,1
2008-05-26,1193,74.78472222222221,0.0,63.979166666666664,12.0,1,0,1,0,1
2008-05-27,1222,47.43055555555555,0.001,62.77083333333332,18.395833333333332,1,1,1,0,0
2008-05-28,1181,52.125,0.0,53.833333333333336,8.604166666666666,0,0,0,0,0
2008-05-29,1270,58.166666666666664,0.083,50.6875,3.625,1,1,1,0,0
2008-05-30,1320,68.4861111111111,0.30200000000000005,75.1388888888889,10.520833333333334,1,1,1,0,1
2008-05-31,1194,71.27083333333333,0.0,63.375,12.354166666666666,0,0,0,0,0
2008-06-01,1438,64.3125,0.0,53.270833333333336,5.8125,0,0,0,0,0
2008-06-02,1309,73.14583333333333,0.0,51.833333333333336,5.729166666666667,0,0,0,0,0
2008-06-03,1246,63.520833333333336,0.93,83.96666666666667,6.28125,1,1,1,0,1
2008-06-04,1290,67.54166666666667,0.02,82.13888888888889,4.416666666666667,1,1,0,0,1
2008-06-05,1267,79.42361111111111,0.22999999999999998,72.71527777777779,13.590277777777777,1,1,0,0,1
2008-06-06,1361,80.02083333333333,0.033,69.41666666666667,19.583333333333332,1,1,1,0,0
2008-06-07,1217,76.8125,0.07100000000000001,83.93402777777779,12.472222222222223,1,1,1,0,1
2008-06-08,1146,77.00000000000001,1.631,76.61111111111111,11.53888888888889,1,1,1,0,1
2008-06-09,1282,69.48263888888889,0.258,82.67708333333333,8.85763888888889,1,1,1,0,1
2008-06-10,1288,71.625,0.012,59.645833333333336,10.4375,1,1,1,0,0
2008-06-11,1404,76.9375,0.0,49.666666666666664,10.479166666666666,0,0,0,0,0
2008-06-12,1258,82.29166666666667,0.0,51.604166666666664,15.166666666666666,0,0,0,0,0
2008-06-13,1318,72.47222222222221,0.223,74.27777777777777,10.697916666666666,1,1,1,0,1
2008-06-14,1259,74.22916666666667,0.0,49.0625,9.291666666666666,0,0,0,0,0
2008-06-15,1262,71.75625000000001,0.343,67.73541666666667,9.795833333333333,1,1,1,0,1
2008-06-16,1211,67.60416666666667,0.0,52.854166666666664,11.4375,0,0,0,0,0
2008-06-17,1169,66.60416666666667,0.0,48.145833333333336,10.9375,0,0,0,0,0
2008-06-18,1209,64.95833333333333,0.0,57.625,7.125,0,0,0,0,0
2008-06-19,1188,68.66666666666667,0.0,49.125,5.4375,0,0,0,0,0
2008-06-20,1312,70.36111111111111,0.041,54.013888888888886,6.930555555555556,1,1,1,0,1
2008-06-21,1228,72.25,0.012,53.958333333333336,6.958333333333333,1,1,1,0,0
2008-06-22,1163,68.80555555555556,0.024,58.19444444444445,4.472222222222222,1,1,1,0,1
2008-06-23,1121,65.625,0.0,66.54166666666667,6.666666666666667,0,0,0,0,0
2008-06-24,1183,71.64583333333333,0.0,53.229166666666664,5.104166666666667,0,0,0,0,0
2008-06-25,1236,71.8611111111111,0.124,80.21527777777777,8.277777777777779,1,1,1,0,0
2008-06-26,1322,78.97916666666667,0.0,68.97916666666667,7.8125,1,0,0,0,0
2008-06-27,1319,75.5625,0.003,76.08333333333333,9.25,1,1,1,0,0
2008-06-28,1293,74.95833333333333,0.002,53.270833333333336,14.375,1,1,1,0,0
2008-06-29,1167,66.1875,0.324,74.38194444444444,10.413194444444445,1,1,1,0,0
2008-06-30,1240,69.14583333333333,0.0,51.833333333333336,9.25,0,0,0,0,0
2008-07-01,1409,72.75,0.0,46.4375,8.25,0,0,0,0,0
2008-07-02,1252,76.35763888888889,0.134,62.642361111111114,11.777777777777777,1,1,1,0,1
2008-07-03,1216,65.1875,0.001,61.895833333333336,13.375,0,1,0,0,0
2008-07-04,1155,67.52083333333333,0.0,56.291666666666664,7.5,0,0,0,0,0
2008-07-05,1253,70.35416666666667,0.0,54.8125,5.708333333333333,0,0,0,0,0
2008-07-06,1202,77.375,0.0,52.104166666666664,8.8125,0,0,0,0,0
2008-07-07,1253,79.47500000000001,0.111,68.22500000000001,11.4,1,1,0,0,1
2008-07-08,1308,75.95347222222222,0.281,79.32847222222222,8.51736111111111,1,1,1,0,1
2008-07-09,1311,76.0625,0.0,51.416666666666664,8.979166666666666,0,0,0,0,0
2008-07-10,1249,73.76805555555556,0.453,68.32083333333334,9.336111111111112,1,1,1,0,1
2008-07-11,1351,76.14583333333333,0.03,69.94444444444444,7.798611111111111,1,1,1,0,1
2008-07-12,1398,73.99652777777777,0.663,72.29861111111111,11.041666666666666,1,1,1,0,1
2008-07-13,1258,71.77083333333333,0.0,54.395833333333336,13.666666666666666,0,0,0,0,0
2008-07-14,1371,74.22916666666667,0.0,51.791666666666664,7.229166666666667,0,0,0,0,0
